"","sample","facies","stratigraphy","Lat","Long","region","Continent","phi_0","phi_1","phi_2","phi_3","phi_4","zone","gs_mean_um","gs_sd_um","gs_kur_um","gs_skw_um","gs_mean_phi","gs_sd_phi","gs_kur_phi","gs_skw_phi","paleolong","paleolat","gs_mean_mm","gs_mean_scale","gs_sd_scale","gs_kur_scale","gs_skw_scale","position","reg_2","x","y","w_dir","wind_group","source"
"1","02A","Ste","Top",-29.87,-50.39,"Southeast","SA",0,0,48.17550439,41.31923981,10.50525581,"S",244.298,1.681,0.875,-0.147,2.081,0.75,0.875,0.147,-14.94,-27.75,0.244298,-0.216686034474977,-0.0078351510009616,-0.567377292615019,-0.189847397568788,"South","South",-14.94,-27.75,70.6752667851785,"South Winds","Bertolini et al. (2020)"
"2","09","Ste","Top",-29.74,-50.57,"Southeast","SA",0,6.203074387,70.88695916,13.03845153,9.871514924,"S",433.684,1.687,1.558,-0.353,1.762,0.754,1.558,0.353,-15.13,-27.64,0.433684,0.535418190970958,0.0299579302977977,2.91918542959222,-1.32866211338269,"South","South",-15.13,-27.64,68.0696073574361,"South Winds","Bertolini et al. (2020)"
"3","18","Ste","Top",-29.72,-52.41,"Southeast","SA",0,0,2.241266048,66.96599756,30.7927364,"S",82.396,1.503,0.865,-0.224,2.798,0.588,0.865,0.224,-16.93,-27.82,0.082396,-0.859643688726863,-1.12902989619749,-0.618425063071933,-0.615520859305054,"South","South",-16.93,-27.82,62.4756571220416,"South Winds","Bertolini et al. (2020)"
"4","31B","Ste","Intratrap",-29.63,-51.13,"Southeast","SA",0,9.203363892,8.012974182,17.54311409,65.24054783,"S",51.792,1.979,1.184,0.526,2.942,0.985,1.184,-0.526,-15.69,-27.59,0.051792,-0.981180643494098,1.86922122017075,1.00999881450363,3.53064922254169,"South","South",-15.69,-27.59,42.4816553091427,"South Winds","Bertolini et al. (2020)"
"5","21","Ste","Top",-29.56,-52.63,"Southwest","SA",0,9.900059262,33.36893936,30.95699719,25.77400419,"S",157.713,2.066,0.855,-0.008,2.258,1.047,0.855,0.008,-17.16,-27.69,0.157713,-0.560539035014807,2.41722089900276,-0.669472833528848,0.57857612426681,"South","South",-17.16,-27.69,64.5019325088182,"South Winds","Bertolini et al. (2020)"
"6","22","Ste","Intratrap",-29.4,-53.02,"Southwest","SA",0,30.34327043,36.67022373,21.17542407,11.81108177,"S",437.678,2.121,0.898,-0.154,1.622,1.085,0.898,0.154,-17.57,-27.58,0.437678,0.55127947045535,2.76365747757472,-0.449967420564116,-0.228544984999357,"South","South",-17.57,-27.58,68.3995564639843,"South Winds","Bertolini et al. (2020)"
"7","23","Ste","Base",-29.48,-54.68,"Southwest","SA",0,0,0,67.46520403,32.53479597,"S",78.711,1.498,0.842,-0.223,2.827,0.583,0.842,0.223,-19.17,-27.84,0.078711,-0.874277843684296,-1.16052413061312,-0.735834935122836,-0.609992632529258,"South","South",-19.17,-27.84,53.7249068368464,"South Winds","Bertolini et al. (2020)"
"8","24","Ste","Top",-29.36,-54.74,"Southwest","SA",0,0,0,62.39113293,37.60886707,"S",71.815,1.513,0.782,-0.179,2.875,0.597,0.782,0.179,-19.25,-27.73,0.071815,-0.901663768402465,-1.06604142736622,-1.04212155786432,-0.366750654394249,"South","South",-19.25,-27.73,49.2757966210948,"South Winds","Bertolini et al. (2020)"
"9","10","Ste","Base",-31.56,-55.726,"Southwest","SA",0,14.82445882,26.74748006,55.80847103,2.619590094,"S",261.102,1.773,0.881,0.337,1.985,0.826,0.881,-0.337,-19.88,-30.02,0.261102,-0.149952699358371,0.57165876224668,-0.536748630340871,2.48581436191631,"South","South",-19.88,-30.02,72.4256035871093,"South Winds","Bertolini et al. (2020)"
"10","11","Ste","Top",-31.14,-55.89,"Southwest","SA",0,0,48.17550439,41.31923981,10.50525581,"S",244.298,1.681,0.875,-0.147,2.081,0.75,0.875,0.147,-20.1,-29.63,0.244298,-0.216686034474977,-0.0078351510009616,-0.567377292615019,-0.189847397568788,"South","South",-20.1,-29.63,60.6107566769867,"South Winds","Bertolini et al. (2020)"
