"PB-2A","PB-2C","PB-31B","PB-18","PB-23","PB-24","PB-22","PB-10","PB-11","PB-12","Peri","CW1","CW2","CW3","PB-32","PB-33","PB-34","PB-35","PB-36","PB-37","PB-38","PB-39","PB-40","PB-41","PB-44","PB-47","PB-50","PB-51","PB-56","PB-59","NAM_335","NAM_336","NAM_342","NAM_343"
256,257,152,253,174,254,254,248,263,155,180,243,249,242,524,516,510,576,598,260,536,513,483,579,217,242,260,596,582,499,264,1834,590,654
256,260,158,263,177,258,255,251,265,244,397,246,256,256,524,529,519,579,602,265,541,522,493,584,245,366,274,602,582,510,496,512,645,2564
260,261,253,269,179,271,256,256,292,247,487,251,259,258,529,535,534,582,603,501,547,537,503,584,251,373,365,603,588,512,578,1051,677,417
261,265,257,277,254,273,259,262,366,271,487,265,265,270,533,535,536,594,607,508,548,538,503,601,253,484,526,608,590,516,532,280,683,619
262,266,272,284,260,303,261,266,458,272,506,273,267,270,538,535,537,599,610,508,556,539,505,605,255,495,528,622,593,520,699,579,487,1767
264,266,275,290,281,367,266,268,463,277,513,278,270,288,544,544,538,600,611,511,557,547,507,610,255,500,542,632,596,521,604,1489,436,672
269,270,402,292,284,394,269,268,477,285,519,284,284,295,544,544,539,602,613,513,561,551,515,612,259,503,547,633,601,528,1125,739,2164,805
271,284,463,303,284,400,270,270,496,316,523,286,285,488,547,548,552,604,616,517,567,558,516,618,261,534,554,639,602,536,2130,555,657,946
273,333,474,446,291,472,272,273,497,467,526,291,286,521,548,550,553,610,617,520,587,561,531,620,262,537,560,643,603,612,453,964,579,487
280,342,483,451,504,493,281,276,517,493,528,381,294,532,550,551,557,619,617,524,588,594,532,638,271,538,563,985,604,616,572,510,491,758
292,403,512,459,520,504,284,277,524,500,530,402,308,544,553,551,559,620,620,528,591,608,535,640,376,547,565,999,607,620,586,587,1919,273
295,432,514,462,528,505,292,282,538,502,532,430,326,545,562,551,565,621,620,529,593,608,536,644,456,555,568,1014,616,621,466,497,737,561
307,433,516,493,530,520,295,289,540,516,542,457,382,546,572,567,566,627,621,530,593,608,539,660,480,564,568,938,640,632,570,1882,264,523
400,487,516,494,538,525,387,314,544,517,550,472,382,562,579,569,570,635,628,532,596,613,546,667,484,566,573,553,595,634,569,538,539,512
471,506,519,519,540,530,461,367,545,517,560,482,435,564,582,570,576,644,628,534,629,618,548,672,493,569,576,866,643,643,475,1219,1218,422
472,507,524,532,541,531,465,384,564,520,561,484,449,568,582,574,577,656,630,541,633,620,549,674,512,578,577,1321,682,649,774,993,1992,562
474,509,525,533,542,532,480,406,569,526,572,486,456,569,584,581,577,656,632,572,638,626,551,1029,516,580,578,1783,689,650,501,545,2039,512
493,512,528,534,542,533,486,483,570,526,576,489,458,573,584,582,578,661,634,576,675,631,551,1048,529,580,581,1658,707,654,552,535,262,492
498,512,530,539,554,534,495,489,571,538,577,496,469,581,587,583,581,664,634,576,682,636,552,1057,531,584,582,1765,710,662,264,2561,505,2709
509,515,531,541,554,542,496,493,576,559,577,501,472,587,591,586,582,668,636,577,685,636,556,1058,532,593,596,1689,722,663,1111,982,545,1716
528,526,531,541,559,555,510,522,577,575,578,504,478,620,594,589,595,674,637,580,693,643,558,1058,541,600,596,1967,737,671,1880,251,529,1745
528,529,533,542,574,558,511,524,581,581,581,515,489,633,598,590,602,674,639,583,916,648,559,1060,543,605,597,2120,1009,677,270,289,474,516
531,546,533,544,576,560,514,526,585,582,581,516,498,653,603,591,602,680,643,588,921,651,564,1081,543,609,599,2577,1012,683,936,1198,261,504
538,551,534,547,579,562,515,530,586,583,583,519,503,702,606,594,606,1000,644,589,924,661,566,1723,553,617,600,806,1015,698,1029,676,1181,568
538,552,536,557,586,564,517,532,600,591,583,522,505,703,609,600,607,1025,1200,589,972,663,568,1740,558,618,601,NA,1017,700,1110,266,274,484
540,552,538,558,590,564,519,534,609,591,589,528,505,728,618,643,610,1039,1224,595,980,751,568,1736,558,622,602,NA,1022,960,1949,2758,483,498
540,560,538,559,594,564,521,544,610,603,589,529,505,773,649,646,612,1064,1241,600,980,756,568,1730,565,627,604,NA,1030,974,261,551,630,518
544,564,539,564,595,564,527,547,612,603,595,534,511,775,651,648,613,1065,1247,603,988,770,579,1766,572,630,605,NA,1044,977,519,552,543,514
545,565,540,567,596,569,527,548,619,618,596,535,512,777,660,648,623,574,1252,603,1004,800,580,1742,573,634,607,NA,1044,1004,1861,690,1978,444
545,575,540,568,598,571,528,550,619,619,599,540,522,780,665,652,630,683,2156,608,1101,812,580,1961,578,634,610,NA,1064,1009,996,547,269,1047
547,575,540,576,601,572,528,551,625,627,600,543,524,915,1004,653,635,689,2181,620,1101,853,580,1946,579,635,624,NA,1081,1064,556,273,385,517
