"","sample","n","angle_pi","angle_graus","cf","reference","wind_group","x_actual","y_actual","X","Y"
"1",1,90,2.1350961805497,212.332,0.69,"Bigarella and Oliveira (1966)","North Winds",-54.727758,-15.329655,-20.888,-14.0412
"2",2,125,1.80348362267078,193.332,0.65,"Bigarella and Oliveira (1966)","North Winds",-53.663465,-16.810481,-19.695,-15.4223
"3",3,102,1.47187106479186,174.332,0.54,"Bigarella and Oliveira (1966)","North Winds",-52.969781,-17.426015,-18.9507,-15.9746
"4",4,108,1.66385728251123,185.332,0.57,"Bigarella and Oliveira (1961)","North Winds",-47.43884,-18.88831,-13.3552,-16.9562
"5",5,73,1.57659081991152,180.332,0.53,"Bigarella and Oliveira (1961)","North Winds",-47.57097,-19.584411,-13.4203,-17.6606
"6",6,36,1.96056325535027,202.332,0.61,"Bigarella and Oliveira (1961)","North Winds",-48.096269,-22.049769,-13.7018,-20.1602
"7",7,75,1.26243155455254,162.332,0.77,"Bigarella and Oliveira (1961)","North Winds",-48.383088,-22.368815,-13.9528,-20.5022
"8",8,30,2.18745605810953,215.332,0.61,"Bigarella and Oliveira (1961)","North Winds",-48.463655,-22.787765,-13.9909,-20.9262
"9",9,43,-0.587617452561451,56.332,0.5,"Bigarella and Oliveira (1961)","South Winds",-49.52392,-23.168042,-14.9955,-21.3949
"10",10,19,1.27988484707248,163.332,0.64,"Bigarella and Oliveira (1961)","North Winds",-49.826853,-23.190601,-15.2911,-21.4432
"11",11,90,2.90304105142721,256.332,0.23,"Bigarella and Oliveira (1961)","North Winds",-50.142677,-22.96179,-15.6246,-21.2424
"12",12,16,2.04782971794999,207.332,0.28,"Bigarella and Oliveira (1961)","North Winds",-50.239357,-23.119702,-15.7039,-21.4079
"13",13,33,4.24694457546284,333.332,0.16,"Bigarella and Oliveira (1961)","South Winds",-50.827498,-23.435525,-16.2507,-21.7728
"14",14,55,2.69360154118789,244.332,0.51,"Bigarella and Oliveira (1961)","North Winds",-51.58483,-23.754572,-16.9634,-22.1557
"15",15,NA,1.34969801715225,167.332,NA,"Bigarella and Oliveira (1966)","North Winds",-55.577742,-23.767462,-20.8949,-22.5168
